,province_1,province_2,locality,street,lat,lon
8187,Центральный федеральный округ,Москва,Москва,улица Знаменка,55.748964,37.607592
8188,Центральный федеральный округ,Москва,Москва,Большая Никитская улица,55.756908,37.599399
8189,Центральный федеральный округ,Москва,Москва,Большая Никитская улица,55.756908,37.599399
8190,Центральный федеральный округ,Москва,Москва,Большая Никитская улица,55.756908,37.599399
8191,Центральный федеральный округ,Москва,Москва,Большая Никитская улица,55.756908,37.599399
8192,Центральный федеральный округ,Москва,Москва,Ленинский проспект,55.729665,37.610961
8193,Центральный федеральный округ,Москва,Москва,Ленинский проспект,55.729665,37.610961
8194,Центральный федеральный округ,Москва,Москва,Романов переулок,55.754568,37.609577
8195,Центральный федеральный округ,Москва,Москва,улица Маросейка,55.757855,37.633715
8196,Центральный федеральный округ,Москва,Москва,Зубовский бульвар,55.73625,37.594171
8197,Центральный федеральный округ,Москва,Москва,Кадашёвская набережная,55.744936,37.621983
8198,Центральный федеральный округ,Москва,Москва,Селезнёвская улица,55.779909,37.603002
8199,Центральный федеральный округ,Москва,Москва,Тургеневская площадь,55.765311,37.635835
8200,Центральный федеральный округ,Москва,Москва,Лесная улица,55.78197,37.59339
8201,Центральный федеральный округ,Москва,Москва,Малая Грузинская улица,55.766035,37.571803
8202,Центральный федеральный округ,Москва,Москва,Садовническая улица,55.746801,37.629107
8203,Центральный федеральный округ,Москва,Москва,Настасьинский переулок,55.766901,37.604574
8204,Центральный федеральный округ,Москва,Москва,Лаврушинский переулок,55.74146,37.622477
8205,Центральный федеральный округ,Москва,Москва,Валовая улица,55.730314,37.633607
8206,Центральный федеральный округ,Москва,Москва,Гоголевский бульвар,55.750621,37.599804
8207,Центральный федеральный округ,Москва,Москва,Неглинная улица,55.763483,37.619683
8208,Центральный федеральный округ,Москва,Москва,улица Гашека,55.768345,37.590533
8209,Центральный федеральный округ,Москва,Москва,Краснопролетарская улица,55.77474,37.608472
8210,Центральный федеральный округ,Москва,Москва,Краснопролетарская улица,55.77474,37.608472
8211,Центральный федеральный округ,Москва,Москва,улица Большая Полянка,55.739154,37.618039
8212,Центральный федеральный округ,Москва,Москва,улица Покровка,55.761933,37.652921
8213,Центральный федеральный округ,Москва,Москва,Переведеновский переулок,55.778877,37.686662
8214,Центральный федеральный округ,Москва,Москва,Стремянный переулок,55.727258,37.626807
8215,Центральный федеральный округ,Москва,Москва,Стремянный переулок,55.727258,37.626807
8216,Центральный федеральный округ,Москва,Москва,Зубовский бульвар,55.734831,37.592599
8217,Центральный федеральный округ,Москва,Москва,2-я Звенигородская улица,55.75941,37.555723
8218,Центральный федеральный округ,Москва,Москва,улица Земляной Вал,55.761685,37.658527
8219,Центральный федеральный округ,Москва,Москва,улица Земляной Вал,55.761685,37.658527
8220,Центральный федеральный округ,Москва,Москва,Олимпийский проспект,55.789305,37.621345
8221,Центральный федеральный округ,Москва,Москва,Столярный переулок,55.763569,37.569638
8222,Центральный федеральный округ,Москва,Москва,Новинский бульвар,55.75131,37.584613
8223,Центральный федеральный округ,Москва,Москва,Гончарная улица,55.743694,37.64922
8224,Центральный федеральный округ,Москва,Москва,улица Радио,55.762931,37.679646
8225,Центральный федеральный округ,Москва,Москва,Спартаковская улица,55.772634,37.67705
8226,Центральный федеральный округ,Москва,Москва,Бауманская улица,55.772163,37.678325
8227,Центральный федеральный округ,Москва,Москва,Спартаковская улица,55.772634,37.67705
8228,Центральный федеральный округ,Москва,Москва,Нижегородская улица,55.738161,37.691665
8229,Центральный федеральный округ,Москва,Москва,Малый Казённый переулок,55.760287,37.65267
8230,Центральный федеральный округ,Москва,Москва,Большая Никитская улица,55.756477,37.607089
8231,Центральный федеральный округ,Москва,Москва,Новая Басманная улица,55.768117,37.661015
8232,Центральный федеральный округ,Москва,Москва,Большой Кисловский переулок,55.754471,37.606721
8233,Центральный федеральный округ,Москва,Москва,Тверской бульвар,55.763336,37.604628
8234,Центральный федеральный округ,Москва,Москва,Тверской бульвар,55.7637,37.605032
8235,Центральный федеральный округ,Москва,Москва,улица Земляной Вал,55.762201,37.658176
